"V1","V2"
54,338
87,363
147,362
178,326
178,345
188,378
179,396
182,443
172,464
198,470
218,466
243,477
280,487
323,487
335,491
360,487
366,464
380,438
368,404
350,381
350,348
326,332
328,307
343,324
362,321
396,321
409,320
445,285
423,260
396,235
383,222
428,220
445,211
474,203
486,167
482,155
461,134
431,111
394,82
359,53
340,28
333,20
316,34
311,52
305,45
246,78
220,118
220,159
221,170
253,216
217,196
203,201
189,191
156,192
133,188
101,189
87,185
41,193
30,228
38,248
47,289
