"X","Y"
2210,969
1920,859
1790,769
1700,749
1570,679
1340,659
1320,619
1500,529
1660,419
1810,369
1920,329
2030,149
2210,99
2370,59
2540,-71
2810,-271
2990,-451
3190,-741
3340,-921
3520,-1141
3630,-1301
3740,-1431
3790,-1561
3920,-1721
3880,-1811
3610,-1941
3280,-2141
3010,-2231
2830,-2301
2230,-2411
1790,-2521
1280,-2631
1060,-2651
770,-2741
720,-2471
630,-2181
590,-1871
480,-1761
390,-1721
300,-1521
210,-1471
170,-1701
60,-1961
-30,-2071
-170,-2251
-210,-2361
-430,-2451
-700,-2361
-920,-2161
-1390,-1631
-1720,-1181
-1970,-831
-2210,-501
-2370,-301
-2480,-121
-2370,39
-2140,149
-2010,259
-1970,439
-1830,529
-1520,679
-1230,839
-1100,969
-970,1099
-1080,1149
-1176.66666666667,1131.42424242424
-1233.01032882558,1151.91284684566
-1280,1169
-1410,1169
-1540,1279
-1900,1419
-2140,1569
-2300,1659
-2540,1789
-2590,1859
-2430,2189
-2100,2569
-1790,2969
-1430,3369
-1170,3499
-920,3659
-790,3749
-660,3679
-500,3499
-300,3329
-120,3169
80,3019
190,2839
230,2789
370,2729
480,2789
390,2969
370,3369
370,3749
370,3969
390,4169
390,4259
320,4459
430,4459
540,4369
940,4279
1280,4219
1410,4189
1630,4169
1940,4079
2340,3989
2680,3859
3120,3639
3370,3439
3570,3239
3920,2989
4010,2899
3920,2659
3630,2259
3430,2059
3210,1879
3100,1659
2830,1459
2700,1369
2500,1259
2390,1099
1222.24564542726,692.877177286368
-1210.47478542202,1287.03996564746
75.3070567840794,2706.24564542726
-2376.42987949771,1958.69294321592
538.333333333333,4214
389.692943215921,-1253.55270221134
524.166666666667,-1540.375
3771.46408839779,-1708.8729281768
1691.12282271363,1001.44729778866
-390.776699029126,-2232.99029126214
1782.14285714286,121.142857142857
-890.307056784079,1420.32447507503
1072.10813380993,392.602154051692
1368.80125858829,980.701808408884
586.631531859105,2462.67552492497
1264.18423407045,3853.79834763861
3496.42417217368,-1599.29839531782
-281.324475075025,-1773.55270221134
-1778.67552492497,-146.201652361394
2182.24564542726,-352.017418290946
2522.55270221134,1764.20165236139
2731.42987949771,-1781.10540442269
-2072.24466552298,1876.67615018138
-814.798347638606,553.798347638606
2013.98258170905,1475.32447507503
1376.29622599542,177.703601447885
919.894595577314,3121.44729778866
-841.802457378171,840.802457378171
1126.16071428571,-2158.76785714286
-641.017418290946,2764.10540442269
792.557755775578,3859
2547.94591193584,-713.054088064162
2849.55697590574,1921.72151204713
2849.37200312384,-1177.35666406347
2991.22822713632,2697.77177286368
-285.925859062099,-878.208923167998
-55.1518373906475,770.045662903343
-524.790201035651,1159.12648898837
-1084.39464077863,3002.78928155726
3193.0374777824,3062.0374777824
1229.58859432344,-1034.71061916998
-1391.44057420081,1947.12193193628
1498.51960223008,1479.59404503299
1079.90639001612,-1601.58410623078
589.005843216804,821.825188869925
-1332.55560244434,-639.968287460245
1923.98124401158,3073.91664005145
2416.92841534385,2401.65615503061
3450.16615087621,2681.54823139358
1495.43080209305,-451.795479232803
2036.67771501013,3574.78984448947
2559.51103133002,3174.98596059134
847.232641354128,-248.446084894396
-275.120078043404,2830.93885827815
-333.087617409371,2113.28002373301
1024.65309221859,3519.30218284278
1426.81405719633,3200.69052580202
3195.25054193239,-1354.04980137774
-714.290560549334,3159.14270709652
-1715.07427885776,1749.84597164986
-1103.63536765444,2435.89897049952
1832.1341912392,-1754.5367649568
1665.98461070453,3757.35759558526
2770.70189895575,3490.40379791151
-456.061837430669,1641.6526261148
-1601.74696170113,2502.97889531838
1929.57069735474,-2144.28278941895
2340.26033849034,-1984.24330699116
1525.82192105961,-2038.16740799721
357.188719524652,1681.44818858277
-836.39804279795,1992.66929631661
-1891.33290755626,2230.64720321848
-1430.36618383224,2843.24329271491
-55.6781092837015,1789.10091720239
31.9454997975382,1279.61840572386
255.168656982857,2135.71781170667
3132.40376627045,-1767.94698268876
3070.73265075739,2282.30143180246
-218.386109822328,-1325.5455337048
-877.700849141589,-1196.32320559289
-595.104282728666,-1501.04675330663
839.064228050103,-1234.79160887713
832.865662185259,-741.533690179734
1194.80534228259,-666.77039644912
232.84163659902,-477.297823027373
1761.70467713195,2135.8677846413
2218.47682618253,3270.77008926933
2221.17077085311,-1255.19159009383
2390.01730091462,-1601.86316276226
1510.12245304199,-1411.98365724078
890.849101739352,1371.28579437251
-657.813418623353,2357.89935270382
-1094.08796141493,1728.2297957715
252.151338062202,979.750511523297
-47.7075783180207,2353.8496721332
-1299.39426320859,-1218.55579301964
1758.56005785778,1756.21952115176
1552.44674928393,2655.12893501903
2516.34999915784,-1063.56068906709
2092.85217069049,-808.295996756479
1856.741348739,-525.141274749342
1679.91737839866,-992.790380188205
1984.398535632,2527.40673677691
2304.64026482275,2822.16850458991
1143.35294237886,2188.47235290892
708.94581106912,1999.03660956028
1070.17526363553,1763.47957502307
1465.82173260448,2318.42459522318
-1251.66983563329,141.742419407816
-1628.27918419913,204.782011494863
-1385.56449497111,-239.443220550723
-717.204174672587,-354.757090724714
-796.042047713568,96.2937414717611
-192.47051824825,-30.6250712825971
-1711.64256161287,-534.055921110637
1225.69866998099,-176.820261646077
498.756810281779,233.763476294172
840.661510453336,113.825563430649
734.063286775243,498.60736528426
285.29101920602,567.47983613223
-68.5117680616846,360.226194948536
-410.660309859057,576.507581655455
463.89345289274,-158.451414355365
-966.005828190575,-1728.40139481051
144.530451476157,-899.116375771027
2183.91066319939,2035.5677528069
951.078417750468,980.5608439197
493.786081504893,1302.29049907811
1071.13761141667,2664.42385003194
-905.496977020264,-754.934782710882
-297.111661379304,-448.031406797746
-455.391266833558,217.659710700258
919.040178571429,-2505.44196428571
-2340,-58.5
-2157.16888123124,-89.1754130903484
-771.072640137333,3561.53567677413
420,4386.5
472.083333333333,4307.125
3825.04153771905,2807.13705784839
423.625554453591,2901.74889109282
386.102508719054,3046.94982561892
382.885611379406,3111.28777241188
372.287578106088,3323.24843787824
370,3574.70256454188
370,3816.99031420432
381.150902346289,4080.50902346289
369.070510463013,4318.79854153425
-1126.51669361405,1140.5424193429
-1287.18437278409,1169
-1549.08492494404,1282.53302636713
-1842.57609868583,1396.66848282227
-1976.80541837201,1467.00338648251
-2119.78336430935,1556.36460269334
-2254.93964551331,1633.65355060124
-2459.52679863628,1745.41034926132
195.082285843914,-1556.7768563975
154.774326716966,-1736.98795503262
122.322660528871,-1813.6918932954
71.064995827809,-1934.84637349791
-87.5865602476466,-2145.03986317555
-215.08252069039,-2363.0792130097
1359.27114633445,599.364426832776
1557.12387386138,489.727336720303
1679.08235280664,412.639215731121
1764.95291473098,384.015695089672
1911.2618380461,332.177513437783
2111.18746714159,126.447925794003
2321.98968463157,71.0025788421077
2482.114896768,-26.7349210578793
2661.5178027841,-161.013187247482
2786.25626473758,-253.412047953761
3015.98896899813,-488.684005047293
3153.08831387305,-687.478055115916
3327.0365919586,-905.443910350315
3503.02038723341,-1120.24713995195
3773.66848560039,-1518.53806256101
301.305646588023,2758.44043717656
43.5732315468515,3046.32007633986
-249.488752221981,3284.10111308621
-415.126204375135,3426.85727371887
-558.728404322781,3565.06945486313
-618.161867302492,3631.9321007153
-1063.43870670119,1005.56129329881
-1139.41698627415,929.583013725852
-1185.77908212763,883.220917872373
