CONTRA,RED
394,217
625,217
653,217
676,217
697,217
199,218
210,218
218,218
326,218
410,218
477,218
565,218
570,218
587,218
598,218
724,218
235,219
429,219
536,219
577,219
642,219
155,220
181,220
556,220
345,221
365,221
631,221
668,221
677,221
749,221
407,222
592,222
595,222
613,222
646,222
148,223
261,223
332,223
426,223
466,223
474,223
490,223
524,223
628,223
653,223
215,224
250,224
297,224
321,224
338,224
598,224
153,225
161,225
384,225
446,225
482,225
638,225
680,225
724,225
227,226
249,226
285,226
362,226
376,226
440,226
498,226
565,226
583,226
610,226
187,227
291,227
408,227
416,227
496,227
525,227
552,227
701,227
208,228
303,228
356,228
530,228
575,228
579,228
624,228
710,228
213,229
368,229
487,229
507,229
652,229
669,229
687,229
222,230
318,230
322,230
430,230
444,230
522,230
606,230
626,230
732,230
760,230
235,231
275,231
398,231
529,231
531,231
312,232
367,232
471,232
615,232
771,232
154,233
202,233
209,233
411,233
417,233
550,233
567,233
648,233
673,233
748,233
273,234
562,234
578,234
586,234
223,235
317,235
371,235
439,235
444,235
522,235
168,236
255,236
306,236
336,236
363,236
457,236
498,236
161,237
386,237
393,237
484,237
525,237
611,237
282,238
346,238
413,238
482,238
548,238
618,238
362,239
385,239
555,239
593,239
638,239
737,239
374,240
433,240
521,240
191,241
201,241
276,241
324,241
355,241
443,241
468,241
530,241
600,241
607,241
682,241
304,242
405,242
475,242
517,242
661,242
165,243
346,243
458,243
485,243
494,243
507,243
569,243
572,243
583,243
604,243
423,244
588,244
708,244
760,244
296,245
336,245
385,245
471,245
539,245
545,245
567,245
615,245
479,246
512,246
654,246
713,246
721,246
198,247
344,247
405,247
444,247
457,247
476,247
484,247
641,247
677,247
729,247
380,248
557,248
615,248
222,249
270,249
516,249
716,249
268,250
316,250
362,250
449,250
543,250
569,250
605,250
683,250
468,251
478,251
586,251
625,251
651,251
161,252
248,252
312,252
388,252
435,252
531,252
537,252
556,252
564,252
581,252
209,253
306,253
523,253
561,253
648,253
257,254
353,254
382,254
408,254
464,254
493,254
591,254
816,254
236,255
338,255
345,255
411,255
439,255
509,255
528,255
824,255
417,256
490,256
506,256
666,256
331,257
424,257
426,257
443,257
521,257
564,257
593,257
598,257
629,257
646,257
685,257
705,257
263,258
438,258
454,258
677,258
770,258
230,259
297,259
301,259
452,259
532,259
568,259
572,259
598,259
241,260
448,260
500,260
517,260
529,260
190,261
199,261
325,261
368,261
375,261
381,261
579,261
235,262
399,262
435,262
624,262
630,262
659,262
675,262
739,262
172,263
282,263
413,263
504,263
550,263
565,263
650,263
185,264
265,264
271,264
525,264
744,264
246,265
304,265
352,265
473,265
557,265
614,265
205,266
315,266
411,266
439,266
532,266
602,266
173,267
182,267
361,267
452,267
481,267
500,267
580,267
590,267
604,267
249,268
421,268
428,268
523,268
537,268
189,269
235,269
299,269
303,269
436,269
444,269
646,269
215,270
275,270
325,270
358,270
417,270
461,270
538,270
588,270
658,270
715,270
719,270
745,270
239,271
343,271
350,271
405,271
544,271
629,271
726,271
249,272
353,272
394,272
464,272
602,272
692,272
331,273
505,273
550,273
620,273
625,273
651,273
705,273
206,274
259,274
304,274
444,274
223,275
242,275
384,275
457,275
556,275
577,275
607,275
213,276
380,276
518,276
669,276
687,276
791,276
329,277
433,277
494,277
507,277
542,277
595,277
647,277
772,277
254,278
272,278
386,278
475,278
487,278
552,278
656,278
722,278
763,278
400,279
432,279
448,279
466,279
517,279
526,279
591,279
619,279
703,279
317,280
333,280
493,280
502,280
530,280
556,280
578,280
733,280
200,281
324,281
346,281
362,281
459,281
614,281
217,282
228,282
409,282
445,282
488,282
535,282
560,282
314,283
356,283
471,283
587,283
620,283
395,284
624,284
282,285
324,285
658,285
715,285
209,286
412,286
421,286
674,286
696,286
709,286
800,286
334,287
345,287
370,287
585,287
614,287
761,287
254,288
301,288
453,288
550,288
581,288
742,288
495,289
507,289
511,289
522,289
545,289
622,289
309,290
406,290
575,290
591,290
596,290
654,290
689,290
750,290
773,290
332,291
375,291
422,291
440,291
517,291
572,291
395,292
463,292
539,292
543,292
650,292
735,292
217,293
281,293
287,293
387,293
560,293
578,293
601,293
681,293
264,294
303,294
313,294
360,294
366,294
430,294
503,294
581,294
667,294
758,294
800,294
247,295
434,295
438,295
546,295
610,295
762,295
350,296
488,296
554,296
619,296
641,296
386,297
419,297
457,297
495,297
522,297
656,297
680,297
719,297
375,298
453,298
651,298
765,298
278,299
423,299
433,299
446,299
499,299
534,299
541,299
571,299
505,300
619,300
368,301
426,301
470,301
554,301
564,301
647,301
660,301
272,302
353,302
497,302
524,302
530,302
545,302
582,302
624,302
463,303
549,303
558,303
594,303
255,304
275,304
750,304
223,305
290,305
304,305
343,305
347,305
369,305
416,305
494,305
670,305
699,305
250,306
260,306
330,306
393,306
435,306
500,306
579,306
603,306
754,306
504,307
556,307
563,307
722,307
793,307
269,308
444,308
553,308
731,308
307,309
317,309
497,309
509,309
533,309
559,309
594,309
621,309
637,309
681,309
699,309
748,309
841,309
387,310
538,310
586,310
609,310
376,311
416,311
487,311
520,311
548,311
641,311
648,311
662,311
707,311
732,311
276,312
570,312
605,312
694,312
293,313
362,313
368,313
404,313
411,313
479,313
490,313
514,313
582,313
634,313
665,313
378,314
450,314
466,314
484,314
533,314
575,314
682,314
303,315
399,315
439,315
457,315
494,315
555,315
569,315
596,315
719,315
240,316
592,316
603,316
621,316
732,316
745,316
289,317
369,317
408,317
476,317
489,317
658,317
670,317
297,318
391,318
402,318
555,318
565,318
267,319
344,319
357,319
683,319
316,320
453,320
470,320
521,320
543,320
612,320
637,320
678,320
364,321
386,321
464,321
513,321
559,321
567,321
589,321
703,321
747,321
783,321
394,322
456,322
459,322
517,322
626,322
690,322
281,323
305,323
335,323
383,323
411,323
580,323
719,323
242,324
311,324
395,324
473,324
496,324
619,324
752,324
524,325
578,325
628,325
632,325
763,325
332,326
437,326
464,326
492,326
541,326
745,326
751,326
825,326
298,327
469,327
473,327
536,327
551,327
564,327
614,327
678,327
767,327
254,328
340,328
368,328
384,328
428,328
455,328
579,328
595,328
687,328
695,328
318,329
512,329
573,329
717,329
755,329
433,330
505,330
545,330
637,330
264,331
274,331
314,331
334,331
421,331
496,331
528,331
583,331
624,331
757,331
796,331
477,332
600,332
659,332
709,332
253,333
380,333
489,333
516,333
256,334
445,334
459,334
474,334
557,334
585,334
601,334
619,334
648,334
704,334
746,334
325,335
393,335
528,335
547,335
629,335
655,335
658,335
694,335
281,336
356,336
404,336
485,336
520,336
564,336
311,337
346,337
376,337
379,337
436,337
554,337
629,337
742,337
369,338
452,338
563,338
592,338
722,338
395,339
468,339
579,339
615,339
647,339
713,339
917,339
308,340
444,340
555,340
668,340
688,340
699,340
424,341
481,341
486,341
489,341
536,341
602,341
609,341
729,341
403,342
510,342
550,342
576,342
793,342
352,343
438,343
451,343
498,343
543,343
718,343
285,344
346,344
386,344
467,344
556,344
583,344
601,344
667,344
682,344
790,344
288,345
377,345
740,345
495,346
571,346
619,346
682,346
365,347
405,347
481,347
500,347
545,347
703,347
282,348
386,348
419,348
483,348
512,348
648,348
793,348
275,349
373,349
392,349
535,349
598,349
629,349
655,349
747,349
760,349
768,349
401,350
434,350
454,350
521,350
604,350
634,350
524,351
530,351
558,351
636,351
644,351
411,352
426,352
653,352
307,353
320,353
477,353
718,353
759,353
350,354
382,354
386,354
480,354
502,354
508,354
510,354
593,354
621,354
705,354
749,354
420,355
470,355
495,355
635,355
697,355
433,356
438,356
531,356
538,356
548,356
615,356
755,356
371,357
457,357
660,357
665,357
676,357
770,357
863,357
574,358
628,358
653,358
685,358
711,358
295,359
348,359
426,359
550,359
556,359
592,359
609,359
640,359
691,359
726,359
398,360
417,360
449,360
482,360
596,360
644,360
658,360
318,361
331,361
394,361
570,361
617,361
676,361
284,362
355,362
443,362
499,362
561,362
682,362
326,363
409,363
439,363
453,363
474,363
504,363
613,363
694,363
708,363
329,364
340,364
373,364
464,364
484,364
494,364
510,364
546,364
576,364
604,364
678,364
702,364
754,364
364,365
522,365
586,365
623,365
649,365
656,365
437,366
579,366
699,366
722,366
287,367
298,367
343,367
357,367
493,367
608,367
662,367
762,367
269,368
310,368
316,368
380,368
681,368
775,368
403,369
455,369
534,369
669,369
689,369
330,370
417,370
471,370
529,370
541,370
714,370
736,370
769,370
367,371
409,371
428,371
447,371
549,371
562,371
583,371
639,371
297,372
308,372
362,372
386,372
457,372
468,372
629,372
652,372
682,372
703,372
805,372
401,373
416,373
589,373
613,373
665,373
707,373
745,373
761,373
290,374
357,374
371,374
488,374
506,374
546,374
444,375
553,375
608,375
617,375
685,375
734,375
784,375
787,375
300,376
308,376
365,376
503,376
644,376
326,377
507,377
693,377
330,378
420,378
492,378
533,378
604,378
677,378
310,379
348,379
359,379
433,379
453,379
468,379
485,379
537,379
364,380
381,380
385,380
429,380
544,380
626,380
730,380
308,381
324,381
354,381
392,381
473,381
645,381
746,381
316,382
335,382
442,382
494,382
526,382
566,382
616,382
636,382
664,382
706,382
726,382
753,382
768,382
781,382
450,383
463,383
487,383
581,383
630,383
773,383
348,384
381,384
395,384
435,384
446,384
479,384
503,384
522,384
570,384
642,384
727,384
737,384
784,384
384,385
470,385
831,385
356,386
422,386
513,386
612,386
628,386
656,386
686,386
718,386
359,387
376,387
414,387
456,387
488,387
509,387
556,387
633,387
793,387
403,388
453,388
463,388
541,388
731,388
310,389
323,389
562,389
567,389
766,389
787,389
427,390
451,390
591,390
663,390
668,390
690,390
749,390
465,391
499,391
522,391
582,391
621,391
642,391
770,391
802,391
863,391
353,392
375,392
434,392
745,392
844,392
316,393
428,393
557,393
573,393
595,393
617,393
634,393
409,394
487,394
568,394
514,395
533,395
544,395
612,395
656,395
674,395
728,395
753,395
775,395
794,395
325,396
352,396
418,396
518,396
571,396
741,396
763,396
362,397
380,397
404,397
460,397
468,397
474,397
529,397
601,397
607,397
629,397
652,397
699,397
345,398
359,398
455,398
505,398
523,398
635,398
484,399
491,399
574,399
710,399
723,399
535,400
623,400
887,400
349,401
480,401
555,401
663,401
364,402
425,402
453,402
669,402
513,403
551,403
566,403
607,403
618,403
717,403
732,403
773,403
334,404
384,404
409,404
412,404
536,404
630,404
649,404
382,405
443,405
545,405
549,405
557,405
587,405
742,405
459,406
483,406
488,406
495,406
656,406
679,406
690,406
763,406
347,407
365,407
401,407
473,407
504,407
541,407
618,407
637,407
694,407
789,407
414,408
463,408
466,408
567,408
645,408
665,408
705,408
720,408
420,409
453,409
507,409
781,409
529,410
579,410
582,410
626,410
647,410
661,410
358,411
381,411
677,411
365,412
403,412
435,412
498,412
599,412
737,412
502,413
730,413
742,413
758,413
798,413
344,414
405,414
451,414
770,414
807,414
352,415
444,415
492,415
543,415
669,415
792,415
487,416
509,416
538,416
572,416
594,416
650,416
682,416
702,416
359,417
369,417
397,417
422,417
707,417
720,417
727,417
414,418
478,418
558,418
613,418
646,418
746,418
425,419
512,419
672,419
360,420
381,420
404,420
453,420
536,420
606,420
660,420
495,421
569,421
615,421
626,421
680,421
753,421
528,422
551,422
578,422
687,422
420,423
437,423
666,423
499,424
540,424
622,424
653,424
662,424
669,424
722,424
461,425
523,425
585,425
635,425
747,425
480,426
505,426
510,426
561,426
711,426
742,426
776,426
368,427
530,427
570,427
736,427
784,427
836,427
596,428
613,428
652,428
685,428
699,428
417,429
454,430
479,430
607,430
669,430
674,430
706,430
469,431
508,431
525,431
640,431
677,431
766,431
504,432
684,432
722,432
749,432
813,432
445,433
450,433
486,433
544,433
625,433
735,433
772,433
427,434
433,434
436,434
504,434
558,434
584,434
596,434
633,434
730,434
400,435
492,435
605,435
532,436
618,436
727,436
756,436
773,436
671,437
489,438
662,438
677,438
684,438
739,438
799,438
460,439
472,439
506,439
534,439
558,439
688,439
423,440
527,440
574,440
581,440
696,440
722,440
404,441
408,441
427,441
439,441
487,441
565,441
701,441
709,441
736,441
416,442
464,442
538,442
569,442
450,443
600,443
729,443
436,444
456,444
514,444
525,444
621,444
633,444
391,445
399,445
429,445
482,445
501,445
519,445
586,445
639,445
656,445
741,445
670,446
686,446
714,446
423,447
508,447
566,447
489,448
494,448
383,449
457,449
473,449
469,450
513,450
543,450
630,450
685,450
575,451
607,451
627,451
